Latitude (decimal degrees):	49.418
Longitude (decimal degrees):	2.826
Elevation (m):	43
Radiation database:	PVGIS-SARAH3


Slope: 39 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20210102:2010,0.0,0.0,0.0,1.84,0.97,0.0
20210102:2110,0.0,0.0,0.0,1.65,1.31,0.0
20210102:2210,0.0,0.0,0.0,1.64,1.31,0.0
20210102:2310,0.0,0.0,0.0,1.64,1.24,0.0
20210103:0010,0.0,0.0,0.0,1.93,1.1,0.0
20210103:0110,0.0,0.0,0.0,2.08,1.17,0.0
20210103:0210,0.0,0.0,0.0,2.18,1.45,0.0
20210103:0310,0.0,0.0,0.0,2.05,1.72,0.0
20210103:0410,0.0,0.0,0.0,2.03,1.93,0.0
20210103:0510,0.0,0.0,0.0,1.93,2.07,0.0
20210103:0610,0.0,0.0,0.0,1.85,2.14,0.0
20210103:0710,0.0,0.0,0.0,1.67,2.07,0.0
20210103:0810,1.59,9.1,2.56,1.39,2.07,0.0
20210103:0910,88.68,114.46,9.27,1.65,2.83,0.0
20210103:1010,274.8,315.25,14.26,2.21,3.45,0.0
20210103:1110,51.19,73.72,17.15,3.03,3.38,0.0
20210103:1210,140.15,171.91,17.64,3.28,3.17,0.0
20210103:1310,212.33,249.67,15.7,3.42,3.1,0.0
20210103:1410,52.94,75.57,11.52,3.37,3.1,0.0
20210103:1510,0.0,5.46,5.45,3.09,2.62,0.0
20210103:1610,0.0,0.0,0.0,2.65,2.62,0.0
20210103:1710,0.0,0.0,0.0,2.34,2.76,0.0
20210103:1810,0.0,0.0,0.0,2.27,2.9,0.0
20210103:1910,0.0,0.0,0.0,2.04,3.24,0.0
20210103:2010,0.0,0.0,0.0,1.78,3.03,0.0
20210103:2110,0.0,0.0,0.0,1.55,3.03,0.0
20210103:2210,0.0,0.0,0.0,1.58,3.03,0.0
20210103:2310,0.0,0.0,0.0,1.43,2.97,0.0
20210104:0010,0.0,0.0,0.0,1.31,3.1,0.0
20210104:0110,0.0,0.0,0.0,1.36,3.1,0.0
20210104:0210,0.0,0.0,0.0,1.32,2.97,0.0
20210104:0310,0.0,0.0,0.0,1.24,2.9,0.0
20210104:0410,0.0,0.0,0.0,1.16,2.83,0.0
20210104:0510,0.0,0.0,0.0,1.2,2.83,0.0
20210104:0610,0.0,0.0,0.0,1.29,2.69,0.0
20210104:0710,0.0,0.0,0.0,1.4,2.9,0.0
20210104:0810,0.0,1.82,2.59,1.46,2.9,0.0
20210104:0910,5.24,15.47,9.31,1.53,3.52,0.0
20210104:1010,10.75,23.66,14.33,1.95,3.93,0.0
20210104:1110,26.09,43.69,17.23,2.37,3.93,0.0
20210104:1210,19.54,35.5,17.75,2.8,3.72,0.0
20210104:1310,31.17,50.06,15.82,3.15,3.66,0.0
20210104:1410,11.33,24.57,11.65,3.17,3.17,0.0
20210104:1510,23.07,40.01,5.59,2.9,3.1,0.0
20210104:1610,0.0,0.0,0.0,2.45,3.1,0.0
20210104:1710,0.0,0.0,0.0,1.93,3.17,0.0
20210104:1810,0.0,0.0,0.0,1.61,3.17,0.0
20210104:1910,0.0,0.0,0.0,1.67,2.97,0.0
20210104:2010,0.0,0.0,0.0,1.44,2.83,0.0
20210104:2110,0.0,0.0,0.0,1.04,2.97,0.0
20210104:2210,0.0,0.0,0.0,0.94,3.03,0.0
20210104:2310,0.0,0.0,0.0,1.06,2.9,0.0
20210105:0010,0.0,0.0,0.0,1.08,2.83,0.0
20210105:0110,0.0,0.0,0.0,1.21,2.83,0.0
20210105:0210,0.0,0.0,0.0,1.37,2.9,0.0
20210105:0310,0.0,0.0,0.0,1.42,2.97,0.0
20210105:0410,0.0,0.0,0.0,1.36,2.97,0.0
20210105:0510,0.0,0.0,0.0,1.28,2.83,0.0
20210105:0610,0.0,0.0,0.0,1.17,2.76,0.0
20210105:0710,0.0,0.0,0.0,1.18,2.83,0.0
20210105:0810,0.0,2.73,2.63,1.18,2.69,0.0
20210105:0910,14.78,29.12,9.37,1.44,2.97,0.0
20210105:1010,22.49,39.14,14.4,2.0,3.79,0.0
20210105:1110,29.01,47.33,17.33,2.62,3.66,0.0
20210105:1210,31.19,50.06,17.86,2.99,3.52,0.0
20210105:1310,26.68,44.6,15.95,3.46,3.86,0.0
20210105:1410,42.77,63.91,11.79,3.52,3.72,0.0
20210105:1510,8.77,20.93,5.73,3.36,3.66,0.0
20210105:1610,0.0,0.0,0.0,2.91,3.45,0.0
20210105:1710,0.0,0.0,0.0,2.64,3.24,0.0
20210105:1810,0.0,0.0,0.0,2.23,3.1,0.0
20210105:1910,0.0,0.0,0.0,1.77,2.83,0.0
20210105:2010,0.0,0.0,0.0,1.67,2.83,0.0
20210105:2110,0.0,0.0,0.0,1.63,2.76,0.0
20210105:2210,0.0,0.0,0.0,1.63,2.69,0.0
20210105:2310,0.0,0.0,0.0,1.61,2.76,0.0
20210106:0010,0.0,0.0,0.0,1.57,2.83,0.0
20210106:0110,0.0,0.0,0.0,1.33,2.76,0.0
20210106:0210,0.0,0.0,0.0,1.3,2.76,0.0
20210106:0310,0.0,0.0,0.0,1.13,2.48,0.0
20210106:0410,0.0,0.0,0.0,1.24,2.34,0.0
20210106:0510,0.0,0.0,0.0,1.17,2.28,0.0
20210106:0610,0.0,0.0,0.0,1.07,2.34,0.0
20210106:0710,0.0,0.0,0.0,1.13,2.34,0.0
20210106:0810,0.0,2.73,2.67,1.14,2.0,0.0
20210106:0910,16.82,31.86,9.43,1.77,2.97,0.0
20210106:1010,8.19,20.02,14.49,2.45,3.03,0.0
20210106:1110,51.12,73.72,17.43,3.23,2.83,0.0
20210106:1210,36.34,56.43,17.98,3.68,2.97,0.0
20210106:1310,30.3,49.15,16.09,3.85,3.1,0.0
20210106:1410,4.06,13.65,11.93,3.89,3.17,0.0
20210106:1510,3.53,12.74,5.88,3.67,2.97,0.0
20210106:1610,0.0,0.0,0.0,3.03,2.55,0.0
20210106:1710,0.0,0.0,0.0,2.64,2.48,0.0
20210106:1810,0.0,0.0,0.0,2.31,2.34,0.0
20210106:1910,0.0,0.0,0.0,2.37,2.0,0.0
20210106:2010,0.0,0.0,0.0,2.16,1.72,0.0
20210106:2110,0.0,0.0,0.0,1.89,1.52,0.0
20210106:2210,0.0,0.0,0.0,1.65,1.45,0.0
20210106:2310,0.0,0.0,0.0,1.37,1.38,0.0
20210107:0010,0.0,0.0,0.0,1.25,1.38,0.0
20210107:0110,0.0,0.0,0.0,0.9,1.31,0.0
20210107:0210,0.0,0.0,0.0,0.85,1.17,0.0
20210107:0310,0.0,0.0,0.0,0.84,1.03,0.0
20210107:0410,0.0,0.0,0.0,0.77,1.1,0.0
20210107:0510,0.0,0.0,0.0,0.58,1.24,0.0
20210107:0610,0.0,0.0,0.0,0.26,1.52,0.0
20210107:0710,0.0,0.0,0.0,0.68,1.24,0.0
20210107:0810,0.0,1.82,2.72,0.35,1.45,0.0
20210107:0910,93.71,119.71,9.5,0.94,2.34,0.0
20210107:1010,85.4,111.36,14.58,1.54,2.41,0.0
20210107:1110,228.33,266.36,17.54,2.24,2.48,0.0
20210107:1210,189.47,225.03,18.11,2.8,2.55,0.0
20210107:1310,350.1,401.46,16.23,3.22,2.62,0.0
20210107:1410,156.68,189.7,12.08,3.43,2.41,0.0
20210107:1510,242.94,288.39,6.04,3.26,1.86,0.0
20210107:1610,0.0,0.0,0.0,2.32,1.93,0.0
20210107:1710,0.0,0.0,0.0,1.57,2.0,0.0
20210107:1810,0.0,0.0,0.0,0.89,2.07,0.0
20210107:1910,0.0,0.0,0.0,0.34,2.14,0.0
20210107:2010,0.0,0.0,0.0,-0.27,2.21,0.0
20210107:2110,0.0,0.0,0.0,-0.57,2.14,0.0
20210107:2210,0.0,0.0,0.0,-0.98,2.14,0.0
20210107:2310,0.0,0.0,0.0,-1.35,2.14,0.0
20210108:0010,0.0,0.0,0.0,-1.68,2.21,0.0
20210108:0110,0.0,0.0,0.0,-1.95,2.21,0.0
20210108:0210,0.0,0.0,0.0,-2.14,2.14,0.0
20210108:0310,0.0,0.0,0.0,-2.43,2.07,0.0
20210108:0410,0.0,0.0,0.0,-2.61,2.14,0.0
20210108:0510,0.0,0.0,0.0,-2.65,2.14,0.0
20210108:0610,0.0,0.0,0.0,-2.23,2.0,0.0
20210108:0710,0.0,0.0,0.0,-1.61,1.79,0.0
20210108:0810,19.05,34.53,2.78,-1.26,1.59,0.0
20210108:0910,41.17,61.13,9.58,-0.21,1.31,0.0
20210108:1010,68.69,92.76,14.67,0.65,1.24,0.0
20210108:1110,51.39,73.72,17.66,1.73,1.17,0.0
20210108:1210,62.21,86.46,18.25,2.8,1.52,0.0
20210108:1310,47.93,70.08,16.38,3.23,1.66,0.0
20210108:1410,220.63,259.96,12.24,3.23,1.52,0.0
20210108:1510,94.98,123.5,6.2,3.13,1.17,0.0
20210108:1610,0.0,0.0,0.0,2.38,0.97,0.0
20210108:1710,0.0,0.0,0.0,1.46,0.97,0.0
20210108:1810,0.0,0.0,0.0,0.9,1.03,0.0
20210108:1910,0.0,0.0,0.0,0.25,1.59,0.0
20210108:2010,0.0,0.0,0.0,0.13,1.66,0.0
20210108:2110,0.0,0.0,0.0,0.12,1.66,0.0
20210108:2210,0.0,0.0,0.0,-0.22,1.59,0.0
20210108:2310,0.0,0.0,0.0,-0.18,1.38,0.0
20210109:0010,0.0,0.0,0.0,0.01,1.24,0.0
20210109:0110,0.0,0.0,0.0,-0.19,1.52,0.0
20210109:0210,0.0,0.0,0.0,0.23,1.66,0.0
20210109:0310,0.0,0.0,0.0,0.67,1.93,0.0
20210109:0410,0.0,0.0,0.0,0.91,2.21,0.0
20210109:0510,0.0,0.0,0.0,0.77,2.34,0.0
20210109:0610,0.0,0.0,0.0,0.65,2.41,0.0
20210109:0710,0.0,0.0,0.0,0.29,2.9,0.0
20210109:0810,53.59,76.0,2.85,-0.16,2.9,0.0
20210109:0910,373.47,421.52,9.66,-0.29,2.76,0.0
20210109:1010,583.72,661.53,14.78,0.0,2.83,0.0
20210109:1110,671.54,770.61,17.78,0.53,2.69,0.0
20210109:1210,659.84,756.94,18.39,1.29,2.97,0.0
20210109:1310,614.0,700.81,16.53,1.68,3.24,0.0
20210109:1410,477.97,541.89,12.4,1.94,3.59,0.0
20210109:1510,257.42,300.59,6.36,1.83,3.59,0.0
20210109:1610,0.0,0.0,0.0,1.36,3.03,0.0
20210109:1710,0.0,0.0,0.0,0.41,2.97,0.0
20210109:1810,0.0,0.0,0.0,-0.04,3.03,0.0
20210109:1910,0.0,0.0,0.0,0.38,3.17,0.0
20210109:2010,0.0,0.0,0.0,0.42,2.9,0.0
20210109:2110,0.0,0.0,0.0,0.27,2.69,0.0
20210109:2210,0.0,0.0,0.0,0.16,2.48,0.0
20210109:2310,0.0,0.0,0.0,-0.17,2.41,0.0
20210110:0010,0.0,0.0,0.0,-0.27,2.48,0.0
20210110:0110,0.0,0.0,0.0,-0.32,2.34,0.0
20210110:0210,0.0,0.0,0.0,-0.07,2.28,0.0
20210110:0310,0.0,0.0,0.0,0.15,2.21,0.0
20210110:0410,0.0,0.0,0.0,0.37,2.0,0.0
20210110:0510,0.0,0.0,0.0,0.44,1.93,0.0
20210110:0610,0.0,0.0,0.0,0.58,2.07,0.0
20210110:0710,0.0,0.0,0.0,0.51,1.66,0.0
20210110:0810,2.57,10.92,2.92,0.4,1.66,0.0
20210110:0910,68.88,92.58,9.75,0.77,1.66,0.0
20210110:1010,147.9,178.99,14.89,1.31,1.79,0.0
20210110:1110,160.69,193.87,17.91,2.15,1.72,0.0
20210110:1210,165.84,199.97,18.54,2.56,1.59,0.0
20210110:1310,215.31,254.21,16.69,3.35,1.66,0.0
20210110:1410,150.52,183.56,12.57,3.28,1.24,0.0
20210110:1510,112.87,143.35,6.54,3.06,1.17,0.0
20210110:1610,0.0,0.0,0.0,2.2,1.72,0.0
20210110:1710,0.0,0.0,0.0,1.15,1.79,0.0
20210110:1810,0.0,0.0,0.0,0.55,1.79,0.0
20210110:1910,0.0,0.0,0.0,-0.01,1.31,0.0
20210110:2010,0.0,0.0,0.0,-0.52,1.1,0.0
20210110:2110,0.0,0.0,0.0,-0.98,1.59,0.0
20210110:2210,0.0,0.0,0.0,-1.26,1.31,0.0
20210110:2310,0.0,0.0,0.0,0.0,0.48,0.0
20210111:0010,0.0,0.0,0.0,-0.94,0.97,0.0
20210111:0110,0.0,0.0,0.0,-1.52,1.17,0.0
20210111:0210,0.0,0.0,0.0,-1.63,1.24,0.0
20210111:0310,0.0,0.0,0.0,-1.63,1.45,0.0
20210111:0410,0.0,0.0,0.0,-1.33,1.72,0.0
20210111:0510,0.0,0.0,0.0,-0.75,2.07,0.0
20210111:0610,0.0,0.0,0.0,0.05,2.28,0.0
20210111:0710,0.0,0.0,0.0,0.38,2.28,0.0
20210111:0810,0.34,6.37,3.0,0.51,2.62,0.0
20210111:0910,45.43,66.26,9.85,1.16,2.62,0.0
20210111:1010,37.39,57.34,15.01,2.1,2.97,0.0
20210111:1110,25.94,43.69,18.05,3.41,3.45,0.0
20210111:1210,98.22,126.85,18.69,4.13,3.79,0.0
20210111:1310,73.22,99.3,16.86,4.78,4.07,0.0
20210111:1410,26.49,44.6,12.74,4.88,3.93,0.0
20210111:1510,6.29,17.29,6.71,4.8,4.0,0.0
20210111:1610,0.0,0.0,0.0,4.22,3.86,0.0
20210111:1710,0.0,0.0,0.0,4.02,4.0,0.0
20210111:1810,0.0,0.0,0.0,4.44,4.21,0.0
20210111:1910,0.0,0.0,0.0,4.33,4.55,0.0
20210111:2010,0.0,0.0,0.0,4.61,4.76,0.0
20210111:2110,0.0,0.0,0.0,4.82,4.9,0.0
20210111:2210,0.0,0.0,0.0,5.09,5.24,0.0
20210111:2310,0.0,0.0,0.0,5.27,5.31,0.0
20210112:0010,0.0,0.0,0.0,5.51,5.59,0.0
20210112:0110,0.0,0.0,0.0,5.71,5.72,0.0
20210112:0210,0.0,0.0,0.0,5.8,5.79,0.0
20210112:0310,0.0,0.0,0.0,6.01,6.0,0.0
20210112:0410,0.0,0.0,0.0,6.21,6.28,0.0
20210112:0510,0.0,0.0,0.0,6.43,6.62,0.0
20210112:0610,0.0,0.0,0.0,6.84,6.9,0.0
20210112:0710,0.0,0.0,0.0,6.69,6.69,0.0
20210112:0810,1.97,10.01,3.09,6.96,6.69,0.0
20210112:0910,19.8,36.41,9.96,7.26,6.55,0.0
20210112:1010,45.55,68.26,15.13,7.58,6.28,0.0
20210112:1110,120.81,153.38,18.2,7.91,5.93,0.0
20210112:1210,53.81,78.27,18.86,8.32,5.17,0.0
20210112:1310,125.55,159.14,17.04,8.46,4.21,0.0
20210112:1410,49.91,73.59,12.93,8.41,3.52,0.0
20210112:1510,61.36,86.95,6.9,8.05,2.97,0.0
20210112:1610,0.0,0.0,0.0,7.52,2.69,0.0
20210112:1710,0.0,0.0,0.0,6.92,2.76,0.0
20210112:1810,0.0,0.0,0.0,6.37,2.83,0.0
20210112:1910,0.0,0.0,0.0,5.72,2.34,0.0
20210112:2010,0.0,0.0,0.0,5.36,2.28,0.0
20210112:2110,0.0,0.0,0.0,4.99,1.93,0.0
20210112:2210,0.0,0.0,0.0,4.41,1.52,0.0
20210112:2310,0.0,0.0,0.0,3.8,1.31,0.0
20210113:0010,0.0,0.0,0.0,2.98,1.24,0.0
20210113:0110,0.0,0.0,0.0,1.65,1.66,0.0
20210113:0210,0.0,0.0,0.0,0.74,1.93,0.0
20210113:0310,0.0,0.0,0.0,0.08,2.0,0.0
20210113:0410,0.0,0.0,0.0,-0.25,1.86,0.0
20210113:0510,0.0,0.0,0.0,-0.09,1.79,0.0
20210113:0610,0.0,0.0,0.0,0.63,1.66,0.0
20210113:0710,0.0,0.0,0.0,0.83,1.72,0.0
20210113:0810,8.76,20.85,3.18,1.32,1.93,0.0
20210113:0910,12.67,26.39,10.07,2.58,2.0,0.0
20210113:1010,105.91,135.01,15.26,3.67,1.93,0.0
20210113:1110,30.94,50.06,18.35,4.42,2.14,0.0
20210113:1210,30.08,49.15,19.03,5.27,2.55,0.0
20210113:1310,74.03,101.01,17.22,6.56,3.31,0.0
20210113:1410,35.61,56.43,13.11,7.97,4.62,0.0
20210113:1510,9.12,21.84,7.08,8.65,5.52,0.0
20210113:1610,0.0,0.0,0.0,8.76,5.66,0.0
20210113:1710,0.0,0.0,0.0,8.7,5.72,0.0
20210113:1810,0.0,0.0,0.0,8.69,5.52,0.0
20210113:1910,0.0,0.0,0.0,8.35,5.72,0.0
20210113:2010,0.0,0.0,0.0,8.39,5.72,0.0
20210113:2110,0.0,0.0,0.0,8.44,5.72,0.0
20210113:2210,0.0,0.0,0.0,8.51,5.66,0.0
20210113:2310,0.0,0.0,0.0,8.58,5.31,0.0
20210114:0010,0.0,0.0,0.0,8.59,4.83,0.0
20210114:0110,0.0,0.0,0.0,8.53,4.21,0.0
20210114:0210,0.0,0.0,0.0,8.45,3.86,0.0
20210114:0310,0.0,0.0,0.0,8.36,3.52,0.0
20210114:0410,0.0,0.0,0.0,8.31,3.59,0.0
20210114:0510,0.0,0.0,0.0,8.24,3.24,0.0
20210114:0610,0.0,0.0,0.0,8.04,2.62,0.0
20210114:0710,0.0,0.0,0.0,7.93,3.03,0.0
20210114:0810,2.93,11.83,3.28,7.74,2.48,0.0
20210114:0910,24.65,42.78,10.19,7.63,2.0,0.0
20210114:1010,14.96,30.03,15.4,7.6,1.79,0.0
20210114:1110,33.36,53.7,18.51,7.7,1.72,0.0
20210114:1210,25.33,43.69,19.2,7.95,2.0,0.0
20210114:1310,11.01,24.57,17.41,8.22,2.34,0.0
20210114:1410,17.6,33.68,13.31,8.38,2.69,0.0
20210114:1510,53.35,77.7,7.28,8.44,2.97,0.0
20210114:1610,0.0,0.0,0.0,8.42,3.1,0.0
20210114:1710,0.0,0.0,0.0,8.37,3.66,0.0
20210114:1810,0.0,0.0,0.0,8.09,4.28,0.0
20210114:1910,0.0,0.0,0.0,7.49,4.28,0.0
20210114:2010,0.0,0.0,0.0,6.35,3.59,0.0
20210114:2110,0.0,0.0,0.0,4.61,3.66,0.0
20210114:2210,0.0,0.0,0.0,2.63,4.55,0.0
20210114:2310,0.0,0.0,0.0,1.3,4.83,0.0
20210115:0010,0.0,0.0,0.0,1.05,4.76,0.0
20210115:0110,0.0,0.0,0.0,0.96,4.41,0.0
20210115:0210,0.0,0.0,0.0,0.9,4.76,0.0
20210115:0310,0.0,0.0,0.0,0.73,4.34,0.0
20210115:0410,0.0,0.0,0.0,0.24,4.07,0.0
20210115:0510,0.0,0.0,0.0,-0.26,4.0,0.0
20210115:0610,0.0,0.0,0.0,-0.92,3.93,0.0
20210115:0710,0.0,0.0,0.0,-0.76,3.72,0.0
20210115:0810,0.0,4.55,3.38,-1.23,3.72,0.0
20210115:0910,380.47,426.26,10.31,-1.03,3.52,0.0
20210115:1010,604.55,678.08,15.55,-0.19,4.21,0.0
20210115:1110,670.98,759.0,18.68,1.06,4.55,0.0
20210115:1210,631.22,714.99,19.39,1.79,4.48,0.0
20210115:1310,197.75,232.3,17.6,2.11,4.28,0.0
20210115:1410,39.76,60.07,13.5,1.93,4.0,0.0
20210115:1510,29.56,47.75,7.47,1.59,3.72,0.0
20210115:1610,0.0,0.0,0.0,1.29,3.17,0.0
20210115:1710,0.0,0.0,0.0,0.99,2.34,0.0
20210115:1810,0.0,0.0,0.0,0.82,2.0,0.0
20210115:1910,0.0,0.0,0.0,0.0,1.72,0.0
20210115:2010,0.0,0.0,0.0,-0.64,1.59,0.0
20210115:2110,0.0,0.0,0.0,-0.99,1.52,0.0
20210115:2210,0.0,0.0,0.0,-1.2,1.31,0.0
20210115:2310,0.0,0.0,0.0,-1.55,1.17,0.0
20210116:0010,0.0,0.0,0.0,-1.48,0.97,0.0
20210116:0110,0.0,0.0,0.0,-1.84,0.9,0.0
20210116:0210,0.0,0.0,0.0,-1.8,0.76,0.0
20210116:0310,0.0,0.0,0.0,-1.39,0.48,0.0
20210116:0410,0.0,0.0,0.0,-1.85,0.9,0.0
20210116:0510,0.0,0.0,0.0,-1.47,1.38,0.0
20210116:0610,0.0,0.0,0.0,-1.27,1.79,0.0
20210116:0710,0.0,0.0,0.0,-0.74,2.34,0.0
20210116:0810,0.35,6.37,3.5,-0.5,2.76,0.0
20210116:0910,55.46,77.25,10.44,-0.32,3.17,0.0
20210116:1010,27.17,44.6,15.7,-0.17,4.07,0.0
20210116:1110,34.75,53.7,18.85,-0.11,4.48,0.0
20210116:1210,40.2,60.07,19.58,-0.22,4.55,0.0
20210116:1310,40.95,60.98,17.8,0.02,5.52,0.0
20210116:1410,16.3,30.94,13.71,-0.02,5.31,0.0
20210116:1510,17.01,31.86,7.68,-0.26,4.41,0.0
20210116:1610,0.0,0.0,0.0,-0.28,4.48,0.0
20210116:1710,0.0,0.0,0.0,-0.03,5.1,0.0
20210116:1810,0.0,0.0,0.0,0.75,4.69,0.0
20210116:1910,0.0,0.0,0.0,1.34,4.28,0.0
20210116:2010,0.0,0.0,0.0,2.25,3.72,0.0
20210116:2110,0.0,0.0,0.0,3.35,3.52,0.0
20210116:2210,0.0,0.0,0.0,4.37,3.93,0.0
20210116:2310,0.0,0.0,0.0,4.54,3.66,0.0
20210117:0010,0.0,0.0,0.0,4.07,3.1,0.0
20210117:0110,0.0,0.0,0.0,4.01,3.17,0.0
20210117:0210,0.0,0.0,0.0,4.21,2.9,0.0
20210117:0310,0.0,0.0,0.0,4.3,3.17,0.0
20210117:0410,0.0,0.0,0.0,4.43,3.1,0.0
20210117:0510,0.0,0.0,0.0,4.24,3.24,0.0
20210117:0610,0.0,0.0,0.0,4.24,3.52,0.0
20210117:0710,0.0,0.0,0.0,3.19,2.9,0.0
20210117:0810,24.29,41.78,3.62,3.29,3.31,0.0
20210117:0910,372.0,425.85,10.58,3.8,3.66,0.0
20210117:1010,392.98,449.49,15.87,4.17,3.52,0.0
20210117:1110,301.23,347.71,19.03,5.05,4.62,0.0
20210117:1210,359.87,414.7,19.77,5.64,4.0,0.0
20210117:1310,104.6,134.82,18.01,6.17,4.48,0.0
20210117:1410,232.06,273.81,13.92,6.18,4.0,0.0
20210117:1510,293.57,346.25,7.88,5.78,3.17,0.0
20210117:1610,0.0,0.0,0.0,4.74,2.69,0.0
20210117:1710,0.0,0.0,0.0,3.6,2.62,0.0
20210117:1810,0.0,0.0,0.0,2.69,2.69,0.0
20210117:1910,0.0,0.0,0.0,2.72,2.55,0.0
20210117:2010,0.0,0.0,0.0,2.8,2.21,0.0
20210117:2110,0.0,0.0,0.0,2.47,2.07,0.0
20210117:2210,0.0,0.0,0.0,2.3,1.93,0.0
20210117:2310,0.0,0.0,0.0,1.92,2.07,0.0
20210118:0010,0.0,0.0,0.0,1.2,2.21,0.0
20210118:0110,0.0,0.0,0.0,1.2,2.21,0.0
20210118:0210,0.0,0.0,0.0,1.18,2.28,0.0
20210118:0310,0.0,0.0,0.0,0.99,2.34,0.0
20210118:0410,0.0,0.0,0.0,1.17,2.34,0.0
20210118:0510,0.0,0.0,0.0,1.03,2.41,0.0
20210118:0610,0.0,0.0,0.0,1.38,2.48,0.0
20210118:0710,0.0,0.0,0.0,1.68,2.55,0.0
20210118:0810,4.66,14.56,3.74,2.08,2.62,0.0
20210118:0910,64.97,88.97,10.73,2.88,2.55,0.0
20210118:1010,410.25,469.82,16.03,3.68,2.83,0.0
20210118:1110,428.19,491.97,19.22,4.97,3.38,0.0
20210118:1210,433.9,500.19,19.98,5.88,3.59,0.0
20210118:1310,368.98,426.32,18.22,6.23,3.79,0.0
20210118:1410,34.39,54.61,14.13,6.31,3.79,0.0
20210118:1510,112.06,143.19,8.1,6.03,4.07,0.0
20210118:1610,0.0,0.0,0.0,5.72,4.0,0.0
20210118:1710,0.0,0.0,0.0,5.27,3.93,0.0
20210118:1810,0.0,0.0,0.0,4.69,4.0,0.0
20210118:1910,0.0,0.0,0.0,4.5,3.72,0.0
20210118:2010,0.0,0.0,0.0,3.71,3.86,0.0
20210118:2110,0.0,0.0,0.0,3.39,4.21,0.0
20210118:2210,0.0,0.0,0.0,3.42,4.48,0.0
20210118:2310,0.0,0.0,0.0,3.6,4.69,0.0
20210119:0010,0.0,0.0,0.0,4.08,5.03,0.0
20210119:0110,0.0,0.0,0.0,4.27,5.38,0.0
20210119:0210,0.0,0.0,0.0,4.69,5.86,0.0
20210119:0310,0.0,0.0,0.0,4.94,6.21,0.0
20210119:0410,0.0,0.0,0.0,4.97,6.48,0.0
20210119:0510,0.0,0.0,0.0,4.84,6.69,0.0
