Latitude (decimal degrees):	49.418
Longitude (decimal degrees):	2.826
Elevation (m):	43
Radiation database:	PVGIS-SARAH3


Slope: 38 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20220102:1710,0.0,0.0,0.0,12.51,6.62,0.0
20220102:1810,0.0,0.0,0.0,12.29,6.83,0.0
20220102:1910,0.0,0.0,0.0,12.44,7.31,0.0
20220102:2010,0.0,0.0,0.0,12.03,7.31,0.0
20220102:2110,0.0,0.0,0.0,11.27,6.62,0.0
20220102:2210,0.0,0.0,0.0,10.55,5.93,0.0
20220102:2310,0.0,0.0,0.0,9.97,5.59,0.0
20220103:0010,0.0,0.0,0.0,9.55,5.31,0.0
20220103:0110,0.0,0.0,0.0,9.41,5.24,0.0
20220103:0210,0.0,0.0,0.0,9.34,5.31,0.0
20220103:0310,0.0,0.0,0.0,9.51,5.31,0.0
20220103:0410,0.0,0.0,0.0,9.63,5.24,0.0
20220103:0510,0.0,0.0,0.0,9.62,5.17,0.0
20220103:0610,0.0,0.0,0.0,9.63,4.97,0.0
20220103:0710,0.0,0.0,0.0,10.11,4.9,0.0
20220103:0810,0.0,4.57,2.56,10.06,4.76,0.0
20220103:0910,171.14,210.25,9.27,10.01,4.34,0.0
20220103:1010,65.52,92.35,14.26,10.2,5.03,0.0
20220103:1110,84.13,113.89,17.15,10.47,5.72,0.0
20220103:1210,58.11,84.11,17.64,10.86,6.83,0.0
20220103:1310,205.95,249.02,15.7,10.95,6.41,0.0
20220103:1410,111.82,144.62,11.52,10.83,6.0,0.0
20220103:1510,32.59,53.32,5.45,10.92,5.86,0.0
20220103:1610,0.0,0.0,0.0,11.03,5.45,0.0
20220103:1710,0.0,0.0,0.0,10.98,5.03,0.0
20220103:1810,0.0,0.0,0.0,10.78,4.48,0.0
20220103:1910,0.0,0.0,0.0,10.56,4.14,0.0
20220103:2010,0.0,0.0,0.0,10.37,3.86,0.0
20220103:2110,0.0,0.0,0.0,10.45,3.72,0.0
20220103:2210,0.0,0.0,0.0,10.51,3.17,0.0
20220103:2310,0.0,0.0,0.0,10.53,2.83,0.0
20220104:0010,0.0,0.0,0.0,10.52,2.55,0.0
20220104:0110,0.0,0.0,0.0,10.53,2.55,0.0
20220104:0210,0.0,0.0,0.0,10.53,2.55,0.0
20220104:0310,0.0,0.0,0.0,10.25,2.0,0.0
20220104:0410,0.0,0.0,0.0,9.8,2.34,0.0
20220104:0510,0.0,0.0,0.0,9.12,2.97,0.0
20220104:0610,0.0,0.0,0.0,8.44,2.34,0.0
20220104:0710,0.0,0.0,0.0,6.37,2.41,0.0
20220104:0810,0.31,6.4,2.59,6.05,0.69,0.0
20220104:0910,14.5,29.26,9.31,6.09,1.59,0.0
20220104:1010,35.34,55.77,14.33,6.1,2.34,0.0
20220104:1110,86.34,114.76,17.23,6.3,3.03,0.0
20220104:1210,45.13,67.65,17.75,6.74,3.1,0.0
20220104:1310,105.26,135.89,15.82,7.11,3.72,0.0
20220104:1410,46.2,68.97,11.65,7.74,4.14,0.0
20220104:1510,15.93,31.39,5.59,8.15,4.41,0.0
20220104:1610,0.0,0.0,0.0,7.96,4.07,0.0
20220104:1710,0.0,0.0,0.0,7.65,3.93,0.0
20220104:1810,0.0,0.0,0.0,7.42,4.14,0.0
20220104:1910,0.0,0.0,0.0,7.27,3.93,0.0
20220104:2010,0.0,0.0,0.0,6.52,4.62,0.0
20220104:2110,0.0,0.0,0.0,4.96,6.14,0.0
20220104:2210,0.0,0.0,0.0,3.63,5.38,0.0
20220104:2310,0.0,0.0,0.0,3.06,4.48,0.0
20220105:0010,0.0,0.0,0.0,2.72,4.14,0.0
20220105:0110,0.0,0.0,0.0,1.94,4.0,0.0
20220105:0210,0.0,0.0,0.0,1.65,3.86,0.0
20220105:0310,0.0,0.0,0.0,1.48,3.59,0.0
20220105:0410,0.0,0.0,0.0,1.32,3.31,0.0
20220105:0510,0.0,0.0,0.0,1.41,3.24,0.0
20220105:0610,0.0,0.0,0.0,1.5,3.17,0.0
20220105:0710,0.0,0.0,0.0,1.75,3.1,0.0
20220105:0810,71.33,97.07,2.63,1.4,2.97,0.0
20220105:0910,379.49,432.82,9.37,2.13,2.97,0.0
20220105:1010,539.01,617.28,14.4,3.4,3.17,0.0
20220105:1110,514.68,589.22,17.33,4.44,3.79,0.0
20220105:1210,446.65,510.14,17.86,5.38,4.9,0.0
20220105:1310,338.62,390.05,15.95,6.05,4.9,0.0
20220105:1410,256.18,300.07,11.79,6.05,4.14,0.0
20220105:1510,63.37,88.57,5.73,5.67,3.59,0.0
20220105:1610,0.0,0.0,0.0,5.0,3.38,0.0
20220105:1710,0.0,0.0,0.0,4.1,3.1,0.0
20220105:1810,0.0,0.0,0.0,3.67,2.9,0.0
20220105:1910,0.0,0.0,0.0,2.46,2.41,0.0
20220105:2010,0.0,0.0,0.0,1.74,2.55,0.0
20220105:2110,0.0,0.0,0.0,1.27,2.55,0.0
20220105:2210,0.0,0.0,0.0,1.02,2.41,0.0
20220105:2310,0.0,0.0,0.0,0.7,2.41,0.0
20220106:0010,0.0,0.0,0.0,0.5,2.48,0.0
20220106:0110,0.0,0.0,0.0,0.54,2.34,0.0
20220106:0210,0.0,0.0,0.0,0.47,2.21,0.0
20220106:0310,0.0,0.0,0.0,0.17,2.14,0.0
20220106:0410,0.0,0.0,0.0,-0.11,1.93,0.0
20220106:0510,0.0,0.0,0.0,-0.67,1.86,0.0
20220106:0610,0.0,0.0,0.0,-1.13,1.79,0.0
20220106:0710,0.0,0.0,0.0,0.46,1.45,0.0
20220106:0810,1.16,8.23,2.67,1.07,1.31,0.0
20220106:0910,76.83,101.87,9.43,1.87,1.24,0.0
20220106:1010,189.51,225.59,14.49,3.08,1.59,0.0
20220106:1110,586.34,683.51,17.43,4.25,2.14,0.0
20220106:1210,591.32,687.11,17.98,4.8,2.76,0.0
20220106:1310,328.64,380.21,16.09,5.2,3.03,0.0
20220106:1410,407.69,470.38,11.93,5.16,3.1,0.0
20220106:1510,210.23,252.6,5.88,4.77,2.97,0.0
20220106:1610,0.0,0.0,0.0,3.73,2.83,0.0
20220106:1710,0.0,0.0,0.0,3.54,2.9,0.0
20220106:1810,0.0,0.0,0.0,3.42,3.45,0.0
20220106:1910,0.0,0.0,0.0,3.42,3.72,0.0
20220106:2010,0.0,0.0,0.0,3.43,4.14,0.0
20220106:2110,0.0,0.0,0.0,3.44,4.62,0.0
20220106:2210,0.0,0.0,0.0,3.49,5.03,0.0
20220106:2310,0.0,0.0,0.0,3.44,5.38,0.0
20220107:0010,0.0,0.0,0.0,3.23,5.66,0.0
20220107:0110,0.0,0.0,0.0,2.47,5.66,0.0
20220107:0210,0.0,0.0,0.0,2.04,5.66,0.0
20220107:0310,0.0,0.0,0.0,2.36,5.59,0.0
20220107:0410,0.0,0.0,0.0,2.8,5.38,0.0
20220107:0510,0.0,0.0,0.0,2.97,5.03,0.0
20220107:0610,0.0,0.0,0.0,3.1,4.76,0.0
20220107:0710,0.0,0.0,0.0,3.79,4.55,0.0
20220107:0810,0.72,7.31,2.72,3.8,4.21,0.0
20220107:0910,21.66,38.4,9.5,4.1,4.21,0.0
20220107:1010,211.63,249.76,14.58,4.93,4.07,0.0
20220107:1110,574.29,660.42,17.54,5.6,4.34,0.0
20220107:1210,154.06,188.69,18.11,6.25,5.17,0.0
20220107:1310,129.3,161.82,16.23,6.65,5.17,0.0
20220107:1410,11.2,24.68,12.08,6.63,5.45,0.0
20220107:1510,67.87,93.87,6.04,6.46,5.1,0.0
20220107:1610,0.0,0.0,0.0,6.0,4.48,0.0
20220107:1710,0.0,0.0,0.0,5.44,4.14,0.0
20220107:1810,0.0,0.0,0.0,4.57,5.17,0.0
20220107:1910,0.0,0.0,0.0,3.98,3.66,0.0
20220107:2010,0.0,0.0,0.0,3.25,4.07,0.0
20220107:2110,0.0,0.0,0.0,3.57,3.86,0.0
20220107:2210,0.0,0.0,0.0,3.62,5.03,0.0
20220107:2310,0.0,0.0,0.0,2.81,4.76,0.0
20220108:0010,0.0,0.0,0.0,2.58,4.34,0.0
20220108:0110,0.0,0.0,0.0,2.61,3.52,0.0
20220108:0210,0.0,0.0,0.0,2.65,3.17,0.0
20220108:0310,0.0,0.0,0.0,2.19,2.69,0.0
20220108:0410,0.0,0.0,0.0,1.63,2.48,0.0
20220108:0510,0.0,0.0,0.0,1.51,2.41,0.0
20220108:0610,0.0,0.0,0.0,1.63,2.83,0.0
20220108:0710,0.0,0.0,0.0,1.88,3.17,0.0
20220108:0810,2.55,10.97,2.78,2.79,3.86,0.0
20220108:0910,24.61,42.06,9.58,3.72,4.48,0.0
20220108:1010,32.58,52.11,14.67,4.89,4.21,0.0
20220108:1110,19.3,35.66,17.66,6.51,6.55,0.0
20220108:1210,84.36,112.79,18.25,7.26,5.59,0.0
20220108:1310,39.66,61.25,16.38,7.71,6.34,0.0
20220108:1410,22.69,40.23,12.24,7.73,6.62,0.0
20220108:1510,17.09,32.86,6.2,7.66,6.97,0.0
20220108:1610,0.0,0.0,0.0,7.61,7.45,0.0
20220108:1710,0.0,0.0,0.0,7.47,7.45,0.0
20220108:1810,0.0,0.0,0.0,7.52,6.9,0.0
20220108:1910,0.0,0.0,0.0,8.31,7.66,0.0
20220108:2010,0.0,0.0,0.0,8.07,8.34,0.0
20220108:2110,0.0,0.0,0.0,7.27,7.79,0.0
20220108:2210,0.0,0.0,0.0,6.32,7.17,0.0
20220108:2310,0.0,0.0,0.0,6.17,7.66,0.0
20220109:0010,0.0,0.0,0.0,5.79,7.1,0.0
20220109:0110,0.0,0.0,0.0,5.55,6.9,0.0
20220109:0210,0.0,0.0,0.0,5.28,6.21,0.0
20220109:0310,0.0,0.0,0.0,4.58,5.72,0.0
20220109:0410,0.0,0.0,0.0,4.32,5.24,0.0
20220109:0510,0.0,0.0,0.0,4.18,5.17,0.0
20220109:0610,0.0,0.0,0.0,3.84,4.97,0.0
20220109:0710,0.0,0.0,0.0,4.14,4.55,0.0
20220109:0810,34.2,54.34,2.85,4.06,4.14,0.0
20220109:0910,403.49,462.54,9.66,4.67,4.21,0.0
20220109:1010,418.58,479.77,14.78,5.36,4.07,0.0
20220109:1110,284.78,331.33,17.78,5.92,4.07,0.0
20220109:1210,187.0,225.24,18.39,6.74,4.41,0.0
20220109:1310,519.12,599.05,16.53,6.64,4.21,0.0
20220109:1410,264.97,310.17,12.4,6.29,4.0,0.0
20220109:1510,229.44,274.93,6.36,6.14,3.59,0.0
20220109:1610,0.0,0.0,0.0,5.15,2.55,0.0
20220109:1710,0.0,0.0,0.0,4.03,2.21,0.0
20220109:1810,0.0,0.0,0.0,3.12,2.28,0.0
20220109:1910,0.0,0.0,0.0,3.34,1.93,0.0
20220109:2010,0.0,0.0,0.0,2.66,2.07,0.0
20220109:2110,0.0,0.0,0.0,1.93,2.07,0.0
20220109:2210,0.0,0.0,0.0,1.5,1.86,0.0
20220109:2310,0.0,0.0,0.0,1.05,1.79,0.0
20220110:0010,0.0,0.0,0.0,0.67,1.66,0.0
20220110:0110,0.0,0.0,0.0,0.4,1.45,0.0
20220110:0210,0.0,0.0,0.0,0.26,1.45,0.0
20220110:0310,0.0,0.0,0.0,0.28,1.38,0.0
20220110:0410,0.0,0.0,0.0,0.04,1.52,0.0
20220110:0510,0.0,0.0,0.0,-0.32,1.59,0.0
20220110:0610,0.0,0.0,0.0,-0.2,1.59,0.0
20220110:0710,0.0,0.0,0.0,0.13,1.1,0.0
20220110:0810,58.56,82.36,2.92,0.69,1.59,0.0
20220110:0910,41.52,61.92,9.75,1.38,1.66,0.0
20220110:1010,47.69,69.48,14.89,2.12,2.14,0.0
20220110:1110,50.59,73.14,17.91,3.22,2.48,0.0
20220110:1210,56.72,80.45,18.54,3.99,2.69,0.0
20220110:1310,44.0,65.83,16.69,4.71,2.28,0.0
20220110:1410,33.27,53.03,12.57,5.01,2.07,0.0
20220110:1510,166.05,203.61,6.54,4.94,2.07,0.0
20220110:1610,0.0,0.0,0.0,4.35,1.93,0.0
20220110:1710,0.0,0.0,0.0,3.79,1.86,0.0
20220110:1810,0.0,0.0,0.0,3.18,2.0,0.0
20220110:1910,0.0,0.0,0.0,3.31,1.79,0.0
20220110:2010,0.0,0.0,0.0,2.67,2.0,0.0
20220110:2110,0.0,0.0,0.0,1.98,2.07,0.0
20220110:2210,0.0,0.0,0.0,1.42,2.0,0.0
20220110:2310,0.0,0.0,0.0,1.33,1.93,0.0
20220111:0010,0.0,0.0,0.0,1.11,2.14,0.0
20220111:0110,0.0,0.0,0.0,0.78,2.14,0.0
20220111:0210,0.0,0.0,0.0,0.66,2.0,0.0
20220111:0310,0.0,0.0,0.0,-0.13,2.0,0.0
20220111:0410,0.0,0.0,0.0,-0.84,2.07,0.0
20220111:0510,0.0,0.0,0.0,-1.38,2.14,0.0
20220111:0610,0.0,0.0,0.0,-1.71,2.14,0.0
20220111:0710,0.0,0.0,0.0,-1.88,2.07,0.0
20220111:0810,10.49,23.08,3.0,-2.11,2.14,0.0
20220111:0910,7.78,19.2,9.85,-1.01,1.86,0.0
20220111:1010,103.39,130.95,15.01,1.19,2.07,0.0
20220111:1110,301.23,348.39,18.05,3.11,1.93,0.0
20220111:1210,646.07,765.46,18.69,4.56,1.59,0.0
20220111:1310,594.96,705.95,16.86,5.39,1.31,0.0
20220111:1410,441.74,519.37,12.74,5.69,1.1,0.0
20220111:1510,216.17,261.58,6.71,5.41,0.9,0.0
20220111:1610,0.0,0.0,0.0,4.28,1.17,0.0
20220111:1710,0.0,0.0,0.0,2.4,1.31,0.0
20220111:1810,0.0,0.0,0.0,0.86,1.52,0.0
20220111:1910,0.0,0.0,0.0,-0.26,1.45,0.0
20220111:2010,0.0,0.0,0.0,-1.33,1.59,0.0
20220111:2110,0.0,0.0,0.0,-1.27,1.31,0.0
20220111:2210,0.0,0.0,0.0,-1.8,1.45,0.0
20220111:2310,0.0,0.0,0.0,-1.41,1.31,0.0
20220112:0010,0.0,0.0,0.0,-0.6,0.9,0.0
20220112:0110,0.0,0.0,0.0,-0.17,0.69,0.0
20220112:0210,0.0,0.0,0.0,-1.05,1.03,0.0
20220112:0310,0.0,0.0,0.0,-0.92,1.03,0.0
20220112:0410,0.0,0.0,0.0,-0.56,0.76,0.0
20220112:0510,0.0,0.0,0.0,-0.09,0.62,0.0
20220112:0610,0.0,0.0,0.0,-0.1,0.55,0.0
20220112:0710,0.0,0.0,0.0,-0.27,0.28,0.0
20220112:0810,23.92,41.03,3.09,-0.02,0.34,0.0
20220112:0910,62.82,85.98,9.96,0.45,0.21,0.0
20220112:1010,69.85,94.47,15.13,1.21,0.28,0.0
20220112:1110,101.2,129.77,18.2,1.89,0.21,0.0
20220112:1210,91.04,118.99,18.86,2.53,0.21,0.0
20220112:1310,72.87,98.67,17.04,2.9,0.28,0.0
20220112:1410,25.34,42.97,12.93,3.24,0.69,0.0
20220112:1510,18.47,34.19,6.9,3.26,0.76,0.0
20220112:1610,0.0,0.0,0.0,3.18,0.9,0.0
20220112:1710,0.0,0.0,0.0,2.87,1.38,0.0
20220112:1810,0.0,0.0,0.0,2.71,1.59,0.0
20220112:1910,0.0,0.0,0.0,2.55,1.86,0.0
20220112:2010,0.0,0.0,0.0,2.56,1.93,0.0
20220112:2110,0.0,0.0,0.0,2.5,2.14,0.0
20220112:2210,0.0,0.0,0.0,2.6,2.0,0.0
20220112:2310,0.0,0.0,0.0,2.42,1.66,0.0
20220113:0010,0.0,0.0,0.0,2.13,1.72,0.0
20220113:0110,0.0,0.0,0.0,1.98,1.93,0.0
20220113:0210,0.0,0.0,0.0,1.73,1.72,0.0
20220113:0310,0.0,0.0,0.0,1.57,1.72,0.0
20220113:0410,0.0,0.0,0.0,1.39,1.72,0.0
20220113:0510,0.0,0.0,0.0,1.15,1.52,0.0
20220113:0610,0.0,0.0,0.0,0.94,1.31,0.0
20220113:0710,0.0,0.0,0.0,1.02,1.31,0.0
20220113:0810,9.27,21.59,3.18,0.81,1.38,0.0
20220113:0910,69.1,93.0,10.07,0.98,1.52,0.0
20220113:1010,88.56,115.08,15.26,1.55,1.59,0.0
20220113:1110,102.07,130.55,18.35,2.32,1.52,0.0
20220113:1210,139.52,172.06,19.03,3.27,1.52,0.0
20220113:1310,285.2,332.91,17.22,4.24,1.52,0.0
20220113:1410,406.53,472.64,13.11,4.78,1.66,0.0
20220113:1510,228.89,274.2,7.08,4.88,1.66,0.0
20220113:1610,0.0,0.0,0.0,4.03,1.79,0.0
20220113:1710,0.0,0.0,0.0,2.87,2.14,0.0
20220113:1810,0.0,0.0,0.0,2.05,2.07,0.0
20220113:1910,0.0,0.0,0.0,1.7,1.79,0.0
20220113:2010,0.0,0.0,0.0,0.84,1.31,0.0
20220113:2110,0.0,0.0,0.0,1.13,0.97,0.0
20220113:2210,0.0,0.0,0.0,0.77,0.97,0.0
20220113:2310,0.0,0.0,0.0,-0.64,1.38,0.0
20220114:0010,0.0,0.0,0.0,-1.33,1.66,0.0
20220114:0110,0.0,0.0,0.0,-1.5,1.72,0.0
20220114:0210,0.0,0.0,0.0,-1.61,1.72,0.0
20220114:0310,0.0,0.0,0.0,-1.68,1.72,0.0
20220114:0410,0.0,0.0,0.0,-1.78,1.66,0.0
20220114:0510,0.0,0.0,0.0,-1.87,1.59,0.0
20220114:0610,0.0,0.0,0.0,-1.96,1.59,0.0
20220114:0710,0.0,0.0,0.0,-2.09,1.66,0.0
20220114:0810,128.56,159.32,3.28,-2.06,1.72,0.0
20220114:0910,362.96,413.59,10.19,-0.48,1.31,0.0
20220114:1010,534.97,621.51,15.4,2.5,1.24,0.0
20220114:1110,611.88,724.58,18.51,4.44,1.24,0.0
20220114:1210,644.75,773.23,19.2,5.93,1.24,0.0
20220114:1310,567.63,677.66,17.41,6.97,1.17,0.0
20220114:1410,453.6,538.13,13.31,7.45,1.1,0.0
20220114:1510,243.87,294.58,7.28,7.18,1.31,0.0
20220114:1610,0.0,0.0,0.0,5.72,2.07,0.0
20220114:1710,0.0,0.0,0.0,4.11,2.0,0.0
20220114:1810,0.0,0.0,0.0,2.84,1.86,0.0
20220114:1910,0.0,0.0,0.0,1.93,1.72,0.0
20220114:2010,0.0,0.0,0.0,0.76,1.79,0.0
20220114:2110,0.0,0.0,0.0,-0.14,1.79,0.0
20220114:2210,0.0,0.0,0.0,-0.79,1.79,0.0
20220114:2310,0.0,0.0,0.0,-1.27,1.72,0.0
20220115:0010,0.0,0.0,0.0,-1.44,1.66,0.0
20220115:0110,0.0,0.0,0.0,-1.7,1.66,0.0
20220115:0210,0.0,0.0,0.0,-1.94,1.66,0.0
20220115:0310,0.0,0.0,0.0,-2.04,1.72,0.0
20220115:0410,0.0,0.0,0.0,-2.15,1.66,0.0
20220115:0510,0.0,0.0,0.0,-2.22,1.59,0.0
20220115:0610,0.0,0.0,0.0,-2.34,1.52,0.0
20220115:0710,0.0,0.0,0.0,-2.21,1.66,0.0
20220115:0810,96.99,124.45,3.38,-2.19,1.59,0.0
20220115:0910,249.89,287.9,10.31,-0.68,1.24,0.0
20220115:1010,347.5,399.04,15.55,1.47,1.17,0.0
20220115:1110,527.37,615.57,18.68,2.97,1.03,0.0
20220115:1210,649.35,778.72,19.39,4.34,0.83,0.0
20220115:1310,565.11,674.44,17.6,5.23,0.62,0.0
20220115:1410,384.31,453.14,13.5,5.65,0.55,0.0
20220115:1510,242.26,291.55,7.47,5.48,0.62,0.0
20220115:1610,0.0,0.0,0.0,4.65,1.17,0.0
20220115:1710,0.0,0.0,0.0,2.83,1.66,0.0
20220115:1810,0.0,0.0,0.0,1.74,1.86,0.0
20220115:1910,0.0,0.0,0.0,1.65,1.79,0.0
20220115:2010,0.0,0.0,0.0,0.98,2.07,0.0
20220115:2110,0.0,0.0,0.0,1.2,2.28,0.0
20220115:2210,0.0,0.0,0.0,1.74,2.21,0.0
20220115:2310,0.0,0.0,0.0,2.07,2.07,0.0
20220116:0010,0.0,0.0,0.0,2.09,2.0,0.0
20220116:0110,0.0,0.0,0.0,2.1,1.93,0.0
20220116:0210,0.0,0.0,0.0,2.13,1.86,0.0
20220116:0310,0.0,0.0,0.0,2.12,1.93,0.0
20220116:0410,0.0,0.0,0.0,2.19,2.34,0.0
20220116:0510,0.0,0.0,0.0,2.31,2.62,0.0
20220116:0610,0.0,0.0,0.0,1.81,2.83,0.0
20220116:0710,0.0,0.0,0.0,0.93,2.97,0.0
20220116:0810,4.17,13.71,3.5,1.04,3.24,0.0
20220116:0910,26.34,43.88,10.44,1.61,3.31,0.0
20220116:1010,56.97,80.08,15.7,2.49,4.0,0.0
20220116:1110,38.96,59.43,18.85,3.22,3.79,0.0
20220116:1210,34.16,53.94,19.58,4.44,4.14,0.0
20220116:1310,22.31,39.31,17.8,4.71,4.21,0.0
20220116:1410,5.75,16.46,13.71,4.87,3.66,0.0
20220116:1510,15.26,30.17,7.68,5.22,3.38,0.0
20220116:1610,0.0,0.0,0.0,5.45,3.03,0.0
20220116:1710,0.0,0.0,0.0,5.63,2.83,0.0
20220116:1810,0.0,0.0,0.0,5.91,2.62,0.0
20220116:1910,0.0,0.0,0.0,4.97,2.69,0.0
20220116:2010,0.0,0.0,0.0,5.18,2.41,0.0
20220116:2110,0.0,0.0,0.0,5.36,2.28,0.0
20220116:2210,0.0,0.0,0.0,5.48,2.0,0.0
20220116:2310,0.0,0.0,0.0,5.42,1.93,0.0
20220117:0010,0.0,0.0,0.0,5.4,1.79,0.0
20220117:0110,0.0,0.0,0.0,4.96,1.86,0.0
20220117:0210,0.0,0.0,0.0,4.56,1.79,0.0
20220117:0310,0.0,0.0,0.0,4.48,1.52,0.0
20220117:0410,0.0,0.0,0.0,4.02,1.38,0.0
20220117:0510,0.0,0.0,0.0,3.68,1.45,0.0
20220117:0610,0.0,0.0,0.0,3.43,1.66,0.0
20220117:0710,0.0,0.0,0.0,3.93,2.14,0.0
20220117:0810,9.04,21.48,3.62,4.06,1.66,0.0
20220117:0910,12.63,26.51,10.58,4.36,1.59,0.0
20220117:1010,51.73,74.97,15.87,4.8,1.86,0.0
20220117:1110,57.86,82.28,19.03,5.47,2.28,0.0
20220117:1210,32.37,52.11,19.77,5.98,2.69,0.0
20220117:1310,99.13,129.21,18.01,6.37,2.62,0.0
20220117:1410,103.14,133.26,13.92,6.35,2.55,0.0
20220117:1510,128.15,161.88,7.88,6.33,2.21,0.0
20220117:1610,0.0,0.0,0.0,5.68,1.38,0.0
20220117:1710,0.0,0.0,0.0,4.65,1.31,0.0
20220117:1810,0.0,0.0,0.0,3.36,1.17,0.0
20220117:1910,0.0,0.0,0.0,2.0,1.52,0.0
20220117:2010,0.0,0.0,0.0,2.39,1.03,0.0
20220117:2110,0.0,0.0,0.0,3.16,0.55,0.0
20220117:2210,0.0,0.0,0.0,2.77,0.76,0.0
20220117:2310,0.0,0.0,0.0,2.22,0.97,0.0
20220118:0010,0.0,0.0,0.0,2.55,0.83,0.0
20220118:0110,0.0,0.0,0.0,2.63,0.9,0.0
20220118:0210,0.0,0.0,0.0,2.67,1.24,0.0
20220118:0310,0.0,0.0,0.0,3.16,1.45,0.0
20220118:0410,0.0,0.0,0.0,3.31,1.66,0.0
20220118:0510,0.0,0.0,0.0,3.62,1.86,0.0
20220118:0610,0.0,0.0,0.0,3.88,2.0,0.0
20220118:0710,0.0,0.0,0.0,3.97,2.28,0.0
20220118:0810,17.11,32.68,3.74,4.05,2.41,0.0
20220118:0910,60.52,84.6,10.73,4.58,2.48,0.0
20220118:1010,181.19,218.16,16.03,5.49,2.9,0.0
20220118:1110,399.16,462.05,19.22,6.29,3.24,0.0
20220118:1210,595.52,695.77,19.98,6.8,3.31,0.0
20220118:1310,446.25,517.65,18.22,7.43,3.72,0.0
20220118:1410,455.83,529.45,14.13,7.54,3.79,0.0
20220118:1510,245.11,293.24,8.1,7.31,3.38,0.0
20220118:1610,0.0,0.0,0.0,6.93,2.62,0.0
20220118:1710,0.0,0.0,0.0,6.4,2.21,0.0
20220118:1810,0.0,0.0,0.0,5.84,1.72,0.0
20220118:1910,0.0,0.0,0.0,4.33,2.41,0.0
20220118:2010,0.0,0.0,0.0,3.43,2.62,0.0
20220118:2110,0.0,0.0,0.0,2.79,2.55,0.0
20220118:2210,0.0,0.0,0.0,2.15,2.41,0.0
20220118:2310,0.0,0.0,0.0,1.48,2.14,0.0
20220119:0010,0.0,0.0,0.0,0.77,2.0,0.0
20220119:0110,0.0,0.0,0.0,0.13,2.07,0.0
20220119:0210,0.0,0.0,0.0,-0.47,1.93,0.0
20220119:0310,0.0,0.0,0.0,-1.21,1.45,0.0
20220119:0410,0.0,0.0,0.0,-1.74,1.17,0.0
20220119:0510,0.0,0.0,0.0,-2.15,1.17,0.0
20220119:0610,0.0,0.0,0.0,-2.52,1.66,0.0
