Latitude (decimal degrees):	49.418
Longitude (decimal degrees):	2.826
Elevation (m):	43
Radiation database:	PVGIS-SARAH3


Slope: 37 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230109:2210,0.0,0.0,0.0,4.74,4.28,0.0
20230109:2310,0.0,0.0,0.0,4.85,4.07,0.0
20230110:0010,0.0,0.0,0.0,4.66,3.79,0.0
20230110:0110,0.0,0.0,0.0,4.26,3.52,0.0
20230110:0210,0.0,0.0,0.0,3.7,3.59,0.0
20230110:0310,0.0,0.0,0.0,3.38,3.79,0.0
20230110:0410,0.0,0.0,0.0,3.25,3.86,0.0
20230110:0510,0.0,0.0,0.0,3.29,3.72,0.0
20230110:0610,0.0,0.0,0.0,3.25,3.52,0.0
20230110:0710,0.0,0.0,0.0,4.1,3.38,0.0
20230110:0810,9.57,22.3,2.92,4.39,3.52,0.0
20230110:0910,89.04,116.52,9.75,5.14,3.79,0.0
20230110:1010,35.69,56.11,14.89,5.94,4.21,0.0
20230110:1110,38.69,59.79,17.91,6.28,5.03,0.0
20230110:1210,32.57,52.43,18.54,6.69,5.93,0.0
20230110:1310,26.59,45.07,16.69,7.07,6.41,0.0
20230110:1410,31.71,51.51,12.57,7.41,6.48,0.0
20230110:1510,19.7,36.36,6.54,7.76,6.07,0.0
20230110:1610,0.0,0.0,0.0,8.13,5.79,0.0
20230110:1710,0.0,0.0,0.0,8.66,5.79,0.0
20230110:1810,0.0,0.0,0.0,9.41,5.79,0.0
20230110:1910,0.0,0.0,0.0,10.19,6.48,0.0
20230110:2010,0.0,0.0,0.0,10.69,6.69,0.0
20230110:2110,0.0,0.0,0.0,11.17,6.76,0.0
20230110:2210,0.0,0.0,0.0,11.51,6.69,0.0
20230110:2310,0.0,0.0,0.0,11.74,6.83,0.0
20230111:0010,0.0,0.0,0.0,11.85,6.9,0.0
20230111:0110,0.0,0.0,0.0,11.83,7.03,0.0
20230111:0210,0.0,0.0,0.0,11.8,7.03,0.0
20230111:0310,0.0,0.0,0.0,11.61,6.55,0.0
20230111:0410,0.0,0.0,0.0,11.28,5.52,0.0
20230111:0510,0.0,0.0,0.0,10.87,5.24,0.0
20230111:0610,0.0,0.0,0.0,10.38,4.28,0.0
20230111:0710,0.0,0.0,0.0,10.07,3.72,0.0
20230111:0810,91.89,124.41,3.0,9.39,4.07,0.0
20230111:0910,344.45,403.35,9.85,8.96,4.62,0.0
20230111:1010,520.92,607.56,15.01,9.33,4.55,0.0
20230111:1110,480.18,558.06,18.05,9.72,5.45,0.0
20230111:1210,561.71,654.6,18.69,9.97,5.59,0.0
20230111:1310,545.77,635.14,16.86,10.03,5.79,0.0
20230111:1410,432.76,504.51,12.74,10.07,5.79,0.0
20230111:1510,223.43,271.75,6.71,9.71,5.66,0.0
20230111:1610,0.0,0.0,0.0,9.08,5.66,0.0
20230111:1710,0.0,0.0,0.0,8.86,5.93,0.0
20230111:1810,0.0,0.0,0.0,8.67,6.14,0.0
20230111:1910,0.0,0.0,0.0,9.04,6.0,0.0
20230111:2010,0.0,0.0,0.0,9.0,6.41,0.0
20230111:2110,0.0,0.0,0.0,9.21,6.76,0.0
20230111:2210,0.0,0.0,0.0,9.37,6.76,0.0
20230111:2310,0.0,0.0,0.0,9.28,6.69,0.0
20230112:0010,0.0,0.0,0.0,9.24,6.9,0.0
20230112:0110,0.0,0.0,0.0,9.34,7.31,0.0
20230112:0210,0.0,0.0,0.0,9.53,7.31,0.0
20230112:0310,0.0,0.0,0.0,9.65,7.45,0.0
20230112:0410,0.0,0.0,0.0,9.8,7.86,0.0
20230112:0510,0.0,0.0,0.0,10.08,8.07,0.0
20230112:0610,0.0,0.0,0.0,10.33,8.0,0.0
20230112:0710,0.0,0.0,0.0,10.78,7.93,0.0
20230112:0810,0.0,3.68,3.09,10.92,7.66,0.0
20230112:0910,11.67,25.76,9.96,11.03,7.45,0.0
20230112:1010,79.09,108.26,15.13,11.28,7.52,0.0
20230112:1110,155.84,194.3,18.2,11.46,7.66,0.0
20230112:1210,181.86,223.18,18.86,11.53,7.72,0.0
20230112:1310,58.62,84.92,17.04,11.62,6.21,0.0
20230112:1410,34.74,56.11,12.93,11.58,7.52,0.0
20230112:1510,23.53,41.88,6.9,11.47,7.24,0.0
20230112:1610,0.0,0.0,0.0,11.18,7.17,0.0
20230112:1710,0.0,0.0,0.0,10.94,7.24,0.0
20230112:1810,0.0,0.0,0.0,10.68,7.31,0.0
20230112:1910,0.0,0.0,0.0,10.43,7.31,0.0
20230112:2010,0.0,0.0,0.0,10.37,6.97,0.0
20230112:2110,0.0,0.0,0.0,10.38,6.83,0.0
20230112:2210,0.0,0.0,0.0,10.48,6.62,0.0
20230112:2310,0.0,0.0,0.0,10.41,6.07,0.0
20230113:0010,0.0,0.0,0.0,10.3,5.45,0.0
20230113:0110,0.0,0.0,0.0,9.77,5.38,0.0
20230113:0210,0.0,0.0,0.0,9.4,5.59,0.0
20230113:0310,0.0,0.0,0.0,8.96,5.66,0.0
20230113:0410,0.0,0.0,0.0,8.49,5.79,0.0
20230113:0510,0.0,0.0,0.0,8.16,6.0,0.0
20230113:0610,0.0,0.0,0.0,7.81,6.21,0.0
20230113:0710,0.0,0.0,0.0,7.75,6.0,0.0
20230113:0810,2.5,11.04,3.18,7.46,6.14,0.0
20230113:0910,233.86,276.42,10.07,7.64,6.41,0.0
20230113:1010,291.31,339.99,15.26,8.27,6.21,0.0
20230113:1110,134.14,168.55,18.35,8.73,6.97,0.0
20230113:1210,331.66,385.51,19.03,9.4,8.0,0.0
20230113:1310,506.19,585.15,17.22,9.89,7.17,0.0
20230113:1410,35.74,57.03,13.11,10.06,6.48,0.0
20230113:1510,154.34,193.42,7.08,9.83,6.21,0.0
20230113:1610,0.0,0.0,0.0,9.2,5.66,0.0
20230113:1710,0.0,0.0,0.0,8.66,5.24,0.0
20230113:1810,0.0,0.0,0.0,7.99,4.83,0.0
20230113:1910,0.0,0.0,0.0,7.7,4.83,0.0
20230113:2010,0.0,0.0,0.0,7.66,4.55,0.0
20230113:2110,0.0,0.0,0.0,7.14,4.14,0.0
20230113:2210,0.0,0.0,0.0,7.08,4.07,0.0
20230113:2310,0.0,0.0,0.0,6.88,4.07,0.0
20230114:0010,0.0,0.0,0.0,6.96,4.07,0.0
20230114:0110,0.0,0.0,0.0,6.6,3.72,0.0
20230114:0210,0.0,0.0,0.0,6.48,3.66,0.0
20230114:0310,0.0,0.0,0.0,6.99,4.34,0.0
20230114:0410,0.0,0.0,0.0,8.01,5.17,0.0
20230114:0510,0.0,0.0,0.0,8.98,6.07,0.0
20230114:0610,0.0,0.0,0.0,9.22,6.83,0.0
20230114:0710,0.0,0.0,0.0,9.53,6.9,0.0
20230114:0810,0.68,7.36,3.28,9.57,7.17,0.0
20230114:0910,7.39,19.32,10.19,9.95,7.93,0.0
20230114:1010,24.73,43.23,15.4,10.29,8.34,0.0
20230114:1110,33.45,54.27,18.51,10.56,8.48,0.0
20230114:1210,48.51,72.67,19.2,10.86,8.55,0.0
20230114:1310,29.7,49.67,17.41,11.0,8.62,0.0
20230114:1410,11.66,25.76,13.31,11.24,8.41,0.0
20230114:1510,10.37,23.92,7.28,11.47,8.14,0.0
20230114:1610,0.0,0.0,0.0,11.71,7.72,0.0
20230114:1710,0.0,0.0,0.0,11.68,7.03,0.0
20230114:1810,0.0,0.0,0.0,11.5,6.0,0.0
20230114:1910,0.0,0.0,0.0,11.52,5.79,0.0
20230114:2010,0.0,0.0,0.0,10.44,4.97,0.0
20230114:2110,0.0,0.0,0.0,9.4,4.41,0.0
20230114:2210,0.0,0.0,0.0,8.74,4.55,0.0
20230114:2310,0.0,0.0,0.0,8.14,4.62,0.0
20230115:0010,0.0,0.0,0.0,7.53,4.62,0.0
20230115:0110,0.0,0.0,0.0,6.99,4.83,0.0
20230115:0210,0.0,0.0,0.0,6.5,5.59,0.0
20230115:0310,0.0,0.0,0.0,6.09,5.45,0.0
20230115:0410,0.0,0.0,0.0,5.76,5.72,0.0
20230115:0510,0.0,0.0,0.0,5.41,6.07,0.0
20230115:0610,0.0,0.0,0.0,5.12,5.86,0.0
20230115:0710,0.0,0.0,0.0,5.53,6.28,0.0
20230115:0810,73.31,100.73,3.38,5.15,6.28,0.0
20230115:0910,237.79,277.89,10.31,5.3,6.48,0.0
20230115:1010,93.55,122.13,15.55,5.86,5.66,0.0
20230115:1110,88.29,116.75,18.68,6.65,8.97,0.0
20230115:1210,307.04,354.53,19.39,7.34,9.03,0.0
20230115:1310,49.29,72.67,17.6,7.56,7.59,0.0
20230115:1410,27.96,46.91,13.5,7.78,7.03,0.0
20230115:1510,22.12,39.48,7.47,7.72,6.9,0.0
20230115:1610,0.0,0.0,0.0,7.32,6.41,0.0
20230115:1710,0.0,0.0,0.0,6.86,6.28,0.0
20230115:1810,0.0,0.0,0.0,6.7,6.55,0.0
20230115:1910,0.0,0.0,0.0,6.7,6.69,0.0
20230115:2010,0.0,0.0,0.0,6.56,6.14,0.0
20230115:2110,0.0,0.0,0.0,6.29,5.79,0.0
20230115:2210,0.0,0.0,0.0,5.88,5.52,0.0
20230115:2310,0.0,0.0,0.0,5.51,5.52,0.0
20230116:0010,0.0,0.0,0.0,5.38,5.86,0.0
20230116:0110,0.0,0.0,0.0,5.42,6.55,0.0
20230116:0210,0.0,0.0,0.0,5.19,7.72,0.0
20230116:0310,0.0,0.0,0.0,5.18,8.9,0.0
20230116:0410,0.0,0.0,0.0,4.9,9.03,0.0
20230116:0510,0.0,0.0,0.0,4.39,7.72,0.0
20230116:0610,0.0,0.0,0.0,4.8,6.41,0.0
20230116:0710,0.0,0.0,0.0,5.16,6.9,0.0
20230116:0810,0.0,4.6,3.5,5.04,5.79,0.0
20230116:0910,28.31,46.91,10.44,5.21,5.38,0.0
20230116:1010,26.07,44.15,15.7,5.3,4.34,0.0
20230116:1110,41.19,62.55,18.85,5.45,6.07,0.0
20230116:1210,57.09,80.95,19.58,4.84,7.03,0.0
20230116:1310,10.15,23.0,17.8,4.2,5.79,0.0
20230116:1410,74.26,99.73,13.71,3.98,7.79,0.0
20230116:1510,15.47,30.36,7.68,4.51,7.52,0.0
20230116:1610,0.0,0.0,0.0,4.19,6.14,0.0
20230116:1710,0.0,0.0,0.0,3.81,5.31,0.0
20230116:1810,0.0,0.0,0.0,3.55,4.55,0.0
20230116:1910,0.0,0.0,0.0,3.31,3.86,0.0
20230116:2010,0.0,0.0,0.0,2.71,3.24,0.0
20230116:2110,0.0,0.0,0.0,2.39,2.9,0.0
20230116:2210,0.0,0.0,0.0,2.05,2.55,0.0
20230116:2310,0.0,0.0,0.0,1.45,2.28,0.0
20230117:0010,0.0,0.0,0.0,1.21,1.93,0.0
20230117:0110,0.0,0.0,0.0,1.35,1.52,0.0
20230117:0210,0.0,0.0,0.0,0.93,1.17,0.0
20230117:0310,0.0,0.0,0.0,0.72,1.17,0.0
20230117:0410,0.0,0.0,0.0,1.02,1.38,0.0
20230117:0510,0.0,0.0,0.0,1.04,1.72,0.0
20230117:0610,0.0,0.0,0.0,0.86,1.93,0.0
20230117:0710,0.0,0.0,0.0,0.43,1.93,0.0
20230117:0810,9.19,21.45,3.62,0.43,2.41,0.0
20230117:0910,28.89,46.91,10.58,1.03,3.66,0.0
20230117:1010,144.75,175.71,15.87,1.85,3.17,0.0
20230117:1110,112.61,141.8,19.03,2.4,3.38,0.0
20230117:1210,144.82,177.28,19.77,3.19,3.24,0.0
20230117:1310,135.85,167.45,18.01,3.28,3.31,0.0
20230117:1410,83.51,110.02,13.92,3.33,3.38,0.0
20230117:1510,24.66,42.06,7.88,3.28,3.38,0.0
20230117:1610,0.0,0.0,0.0,2.89,3.31,0.0
20230117:1710,0.0,0.0,0.0,2.3,3.24,0.0
20230117:1810,0.0,0.0,0.0,1.68,3.17,0.0
20230117:1910,0.0,0.0,0.0,0.72,2.83,0.0
20230117:2010,0.0,0.0,0.0,0.55,2.9,0.0
20230117:2110,0.0,0.0,0.0,0.38,2.83,0.0
20230117:2210,0.0,0.0,0.0,0.17,2.83,0.0
20230117:2310,0.0,0.0,0.0,-0.07,2.97,0.0
20230118:0010,0.0,0.0,0.0,-0.52,2.9,0.0
20230118:0110,0.0,0.0,0.0,-0.98,2.69,0.0
20230118:0210,0.0,0.0,0.0,-1.32,2.55,0.0
20230118:0310,0.0,0.0,0.0,-1.61,2.62,0.0
20230118:0410,0.0,0.0,0.0,-1.91,2.62,0.0
20230118:0510,0.0,0.0,0.0,-2.26,2.28,0.0
20230118:0610,0.0,0.0,0.0,-2.71,1.79,0.0
20230118:0710,0.0,0.0,0.0,-3.0,1.79,0.0
20230118:0810,149.45,181.56,3.74,-3.24,1.93,0.0
20230118:0910,382.08,431.38,10.73,-1.86,1.79,0.0
20230118:1010,603.17,689.84,16.03,0.41,2.34,0.0
20230118:1110,676.29,780.34,19.22,2.05,2.97,0.0
20230118:1210,699.86,809.85,19.98,3.23,3.52,0.0
20230118:1310,624.72,716.35,18.22,4.06,4.28,0.0
20230118:1410,477.29,546.06,14.13,4.21,3.93,0.0
20230118:1510,26.74,44.75,8.1,3.89,3.45,0.0
20230118:1610,0.0,0.0,0.0,2.83,3.03,0.0
20230118:1710,0.0,0.0,0.0,1.94,2.83,0.0
20230118:1810,0.0,0.0,0.0,1.29,2.83,0.0
20230118:1910,0.0,0.0,0.0,0.78,2.83,0.0
20230118:2010,0.0,0.0,0.0,0.59,2.69,0.0
20230118:2110,0.0,0.0,0.0,0.35,2.55,0.0
20230118:2210,0.0,0.0,0.0,0.02,2.41,0.0
20230118:2310,0.0,0.0,0.0,-0.04,2.28,0.0
20230119:0010,0.0,0.0,0.0,-0.57,2.34,0.0
20230119:0110,0.0,0.0,0.0,-1.09,2.41,0.0
20230119:0210,0.0,0.0,0.0,-1.53,2.34,0.0
20230119:0310,0.0,0.0,0.0,-1.75,2.28,0.0
20230119:0410,0.0,0.0,0.0,-2.11,2.28,0.0
20230119:0510,0.0,0.0,0.0,-2.37,2.34,0.0
20230119:0610,0.0,0.0,0.0,-2.41,2.48,0.0
20230119:0710,0.0,0.0,0.0,-1.45,2.62,0.0
